servicio_origen,servicio_destino,soporte_direccion_dominante,clasificacion_orden,frac_lag_menor_5min,frac_lag_mismo_dia_menor_60min,lag_min_p25,lag_min_mediana,lag_min_p75,lag_min_p95
d602a0071f3f4db8b37a87cffd89bf23,638aea308ffb483198d5c1387e2cc017,285,mixto,0.0737,0.2561,58.0,182.0,292.0,692.0
347178b052294153af290d6a84589868,2549b51828ce40af920a932dd2102217,285,mixto,0.014,0.2,93.0,211.0,212.0,809.2
ffaec74bfd414f8394bab077a989e27f,209ce526160947f0b398566cd4cbfd0d,284,mixto,0.081,0.3521,29.75,141.5,386.25,1043.85
d602a0071f3f4db8b37a87cffd89bf23,16ffe077cc1a4b11a19bea91abce6f9c,283,mixto,0.0247,0.1837,82.0,184.0,290.5,725.7
123,6e12533e73a048efa8bcc0a30f2b7684,279,mixto,0.2688,0.828,4.0,10.0,31.0,1010.6
1ad6835586034de0b29f4a402b182c6c,347178b052294153af290d6a84589868,276,mixto,0.1739,0.6703,6.75,20.5,141.0,562.0
0f33ab6447034fe49d1629353a119e47,d602a0071f3f4db8b37a87cffd89bf23,276,mixto,0.1268,0.2899,19.75,199.5,532.0,1123.5
9a76efc4c34e4bd7843206658dc45454,67339e06f4b44f78994ff4785178807a,274,mixto,0.2299,0.6679,5.0,22.0,143.0,857.2
41da80f6154c4d918166fc43862f5d78,ae4caa1cb2154cac89440f3fe18251cb,273,mixto,0.3004,0.685,3.0,13.0,87.0,630.6
9a76efc4c34e4bd7843206658dc45454,74e60dc3bc26493d81088e4d322b7c39,270,mixto,0.1963,0.7556,6.0,15.0,56.75,305.75
79bvfghg9a0a8tm25d16sddg7d61d4710,123,268,mixto,0.0784,0.5597,12.0,39.0,202.5,698.7
d602a0071f3f4db8b37a87cffd89bf23,dc821110e3f34bf3984d61955ced2e69,267,mixto,0.015,0.0899,197.0,553.0,691.0,1113.0
123,347178b052294153af290d6a84589868,267,mixto,0.0487,0.3184,33.5,185.0,575.5,1116.1
d602a0071f3f4db8b37a87cffd89bf23,9fd20d626db942aeb4d84f9c475d3bea,266,mixto,0.0038,0.0338,557.0,560.0,690.0,1104.75
5492b6e4db6948aca469c21d05b18721,b972e814004e4624a566f308901cca7c,266,mixto,0.0075,0.1165,112.25,214.0,344.75,476.25
d602a0071f3f4db8b37a87cffd89bf23,1eec93924a1046efbad70c851782ab8a,264,mixto,0.053,0.2159,75.0,249.5,502.25,780.0
b4206ac5e3224dfd900588a8f7caf95e,dd7629fec91f4599b3cf8c0dd0b984ac,259,mixto,0.0927,0.6178,10.5,38.0,148.5,671.4
dd7629fec91f4599b3cf8c0dd0b984ac,2549b51828ce40af920a932dd2102217,256,mixto,0.0625,0.4727,17.0,66.0,266.75,1005.75
4a94478dd25f4430a0a023b87e11170d,31050e1a1dcb4c9899ba77be32449e54,256,mixto,0.0234,0.25,61.25,216.0,434.25,933.25
0f33ab6447034fe49d1629353a119e47,123,254,mixto,0.1575,0.3937,24.25,95.5,270.0,644.7
4a94478dd25f4430a0a023b87e11170d,fd595f24910c4126b7398b3e081af528,252,mixto,0.0714,0.4762,15.75,96.0,465.25,876.45
eaf8f2b0ccd04cf2a7bfcf357fe88ca2,123,251,mixto,0.0637,0.5299,18.0,52.0,259.5,856.0
2549b51828ce40af920a932dd2102217,08165f6182bc4dfc9dc1d7774508bbc6,250,mixto,0.02,0.392,29.0,108.0,349.75,790.0
b972e814004e4624a566f308901cca7c,6d52b87b5a964c61ad7e28afd9499f18,250,mixto,0.008,0.172,87.5,199.5,325.75,470.8
4a94478dd25f4430a0a023b87e11170d,91f3f86897ff4ae39e50cbd7035fa8af,246,mixto,0.0041,0.1829,108.25,263.5,713.25,1050.0
