Código del registro;Nombre del registro;Medio utilizado para obtener el dato, documento (certificado) y/o expediente;Identifique la institución que provee el dato, documento (certificado) y/o expediente que se solicita a los usuarios;Identifique el Documento (certificado) que solicita a los usuarios;Si no se encuentra en el listado, indique el nombre del dato, documento (certificado) y/o expediente que solicita a los usuarios;Identifique la Institución que provee el dato, documento (certificado) y/o expediente que se intercambia manualmente;Tipo de información que se intercambia manualmente;Identifique el documento (certificado) que se intercambia manualmente;Si no se Encuentra en el listado, indique el nombre del documento (certificado) que intercambia manualmente;Indique el nombre del dato que intercambia manualmente (separados por coma);Indique medio utilizado para interoperar electrónicamente;Seleccione institución que Provee el dato, documento (certificado) y/o expediente a través de la Red de Interoperabilidad del Estado;Seleccione el servicio web que consume a través de la Red de Interoperabilidad del Estado;Indique el nombre del Servicio web consumido a través de la Red de Interoperabilidad del Estado;Identifique la institución con la que interopera el dato, documento (certificado) y/o expediente;Indique el nombre del dato o set de datos que interopera
TR-COM00097-00048;Solicitud de clave para obtener informe de deuda para personas jurídicas;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;Cédula de identidad;;;;;;;;;;;
TR-COM00097-00048;Solicitud de clave para obtener informe de deuda para personas jurídicas;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Impuestos Internos;No se encuentra certificado;Cédula RUT electrónica (E- RUT) de la persona jurídica;;;;;;;;;;;
TR-COM00097-00050;Solicitud de subsidio por incapacidad temporal para bomberos;No hay interoperabilidad, se solicita a sus usuarios(as);Carabineros de Chile;No se encuentra certificado;Certificado de Carabineros de Chile del territorio administrativo donde resultó lesionado. Con la siguiente información: fecha y hora del accidente, y descripción del Acto de servicio en el cual participaba (extinción de incendio, rescate, ejercicios de compañía, guardia nocturna, etc.);;;;;;;;;;;
TR-COM00097-00051;Solicitud de renta vitalicia de sobrevivencia para bomberos;No hay interoperabilidad, se solicita a sus usuarios(as);Carabineros de Chile;No se encuentra certificado;Certificado de Carabineros de Chile del territorio administrativo donde resultó fallecido, con la siguiente información: fecha y hora del accidente y descripción del Acto de servicio en el cual participaba (extinción de incendio, rescate, ejercicios de compañía, guardia nocturna, etc.);;;;;;;;;;;
TR-COM00097-00051;Solicitud de renta vitalicia de sobrevivencia para bomberos;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de defunción (SRCeI);;;;;;;;;;;;
TR-COM00097-00051;Solicitud de renta vitalicia de sobrevivencia para bomberos;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de matrimonio para todo trámite (SRCeI);;;;;;;;;;;;
TR-COM00097-00051;Solicitud de renta vitalicia de sobrevivencia para bomberos;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de nacimiento para todo trámite (SRCeI);;;;;;;;;;;;
TR-COM00097-00053;Solicitud de gastos funerarios para bomberos fallecidos durante su servicio;No hay interoperabilidad, se solicita a sus usuarios(as);Carabineros de Chile;No se encuentra certificado;Certificado de Carabineros de Chile del territorio administrativo donde resultó fallecido, con la siguiente información: fecha y hora del accidente, y descripción del Acto de servicio que estaba ejecutando (extinción de incendio, rescate, ejercicios de compañía, guardia nocturna, etc.);;;;;;;;;;;
TR-COM00097-00055;Solicitud de renta vitalicia por invalidez para bomberos;No hay interoperabilidad, se solicita a sus usuarios(as);Carabineros de Chile;No se encuentra certificado;Certificado de Carabineros de Chile del territorio administrativo donde resultó lesionado, con la siguiente información: fecha y hora del accidente, y descripción del Acto de servicio en el cual participaba (extinción de incendio, rescate, ejercicios de compañía, guardia nocturna, etc.);;;;;;;;;;;
TR-COM00097-00055;Solicitud de renta vitalicia por invalidez para bomberos;No hay interoperabilidad, se solicita a sus usuarios(as);Comisión del Sistema Nacional de Certificación de Competencias Laborales;No se encuentra certificado;Resolución de la evaluación de la COMPIN, que certifica que la lesión o enfermedad es a causa del accidente que tuvo, por haber participado en el acto de servicio denunciado a Carabineros, y el grado de discapacidad física o intelectual determinado;;;;;;;;;;;
TR-COM00097-00068;Examen de conocimientos para corredores o liquidadores de seguros;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;Certificado de Antecedentes para fines especiales;;;;;;;;;;;
TR-COM00097-00068;Examen de conocimientos para corredores o liquidadores de seguros;No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Educación;Certificado de estudios para fines laborales (Ministerio de Educación);;;;;;;;;;;;
TR-COM00097-00068;Examen de conocimientos para corredores o liquidadores de seguros;No hay interoperabilidad, se solicita a sus usuarios(as);Superintendencia de Insolvencia y Reemprendimiento;Certificado de Procedimientos Concursales/Quiebras (SUPERIR);;;;;;;;;;;;
TR-COM00097-00068;Examen de conocimientos para corredores o liquidadores de seguros;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de nacimiento para todo trámite (SRCeI);;;;;;;;;;;;
TR-COM00097-00068;Examen de conocimientos para corredores o liquidadores de seguros;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio Nacional de Migraciones;No se encuentra certificado;Permiso de residencia o permanencia definitiva y copia de la cédula de identidad para extranjeros al día, en caso de ser extranjero;;;;;;;;;;;
TR-COM00097-00099;Solicitud de pago o reembolso de prestaciones médicas para bomberos;No hay interoperabilidad, se solicita a sus usuarios(as);Carabineros de Chile;No se encuentra certificado;Certificado de Carabineros de Chile del territorio administrativo donde resultó lesionado, con la siguiente información: fecha y hora del accidente, y descripción del Acto de servicio en el cual participaba;;;;;;;;;;;
TR-COM00097-00101;Consultar sobre tenencia de acciones;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;Cédula de identidad ;;;;;;;;;;;
TR-COM00097-00109;Solicitud de registro para Sociedades Evaluadoras;No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de vigencia de sociedad (Conservador de Bienes Raíces);;;;;;;;;;;
TR-COM00097-00118;Consultar sobre la existencia de Rentas Vitalicias;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;Cédula de identidad;;;;;;;;;;;
TR-COM00097-00118;Consultar sobre la existencia de Rentas Vitalicias;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de defunción (SRCeI);;;;;;;;;;;;
TR-COM00097-00121;Consulta sobre las acciones de un tercero, por cuenta del heredero para posesión efectiva;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de defunción (SRCeI);;;;;;;;;;;;
TR-COM00097-00121;Consulta sobre las acciones de un tercero, por cuenta del heredero para posesión efectiva;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de nacimiento para todo trámite (SRCeI);;;;;;;;;;;;
TR-COM00097-00121;Consulta sobre las acciones de un tercero, por cuenta del heredero para posesión efectiva;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de matrimonio para todo trámite (SRCeI);;;;;;;;;;;;
TR-COM00097-00137;Información de Acreencias - Nómina de depositantes;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;Cédula de identidad;;;;;;;;;;;
TR-COM00097-00137;Información de Acreencias - Nómina de depositantes;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de defunción (SRCeI);;;;;;;;;;;;
TR-COM00097-00144;Solicitud alzamiento hipoteca;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;Cédula de identidad;;;;;;;;;;;
TR-COM00097-00144;Solicitud alzamiento hipoteca;No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;"Certificado de hipotecas y gravámenes copia de la inscripción de la hipoteca o gravamen cuando el dueño del inmueble sea diferente de quien constituyó dicha hipoteca o gravamen; Certificado de Dominio Vigente";;;;;;;;;;;
TR-COM00097-00158;Consulte los seguros como representante de un tercero;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;Cédula de identidad;;;;;;;;;;;
TR-COM00097-00158;Consulte los seguros como representante de un tercero;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de defunción (SRCeI);;;;;;;;;;;;
TR-COM00097-00158;Consulte los seguros como representante de un tercero;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de nacimiento para todo trámite (SRCeI);;;;;;;;;;;;
TR-COM00097-00158;Consulte los seguros como representante de un tercero;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de Acuerdo de Unión Civil para todo trámite (SRCeI);;;;;;;;;;;;
TR-COM00097-00158;Consulte los seguros como representante de un tercero;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de matrimonio para todo trámite (SRCeI);;;;;;;;;;;;
PT-SUB00045-00036;Fondo Concursable para la Educación Previsional (FEP);No hay interoperabilidad, se solicita a sus usuarios(as);Dirección del Trabajo;Certificado de antecedentes laborales y previsionales (DT);;;;;;;;;;;;
PT-SUB00045-00036;Fondo Concursable para la Educación Previsional (FEP);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Impuestos Internos;No se encuentra certificado;certificado de inicio de actividades;;;;;;;;;;;
PT-SUB00045-00036;Fondo Concursable para la Educación Previsional (FEP);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;Certificado de Vigencia de Personalidad Jurídica;;;;;;;;;;;
PT-SUB00045-00036;Fondo Concursable para la Educación Previsional (FEP);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;Certificado Deudor Pensión Alimento.;;;;;;;;;;;
TR-SUB00058-00085;Certificado para importar una nave de alto tonelaje;No hay interoperabilidad, se solicita a sus usuarios(as);Astilleros y Maestranzas de la Armada;No se encuentra certificado;certificado de ASMAR en el que conste que esa institución no está en condiciones de fabricar la nave que se va a importar.;;;;;;;;;;;
TR-SUB00058-00086;Disolver Sociedad en el Registro de Empresas y Sociedades;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Impuestos Internos;No se encuentra certificado;Término de giro;;;;;;;;;;;
TR-SUB00058-00094;Autorización para la devolución anticipada del IVA a exportadores;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;cédula de identidad;;;;;;;;;;;
TR-SUB00058-00094;Autorización para la devolución anticipada del IVA a exportadores;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Impuestos Internos;No se encuentra certificado;documentos que acrediten la personería de su representante legal;;;;;;;;;;;
TR-SUB00058-00094;Autorización para la devolución anticipada del IVA a exportadores;No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;inscripción de la sociedad en el registro de comercio, con una antigüedad inferior a 30 días;;;;;;;;;;;
TR-SUB00058-00095;Envío de documentación para el Cumplimiento del artículo 90° de la R.A.E 1321, inciso primero;No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado que acredite la inscripción de los auditores en el registro señalado en el articulo 89° de la R.A.E. 1321;;;;;;;;;;;
TR-SUB00058-00102;Rectificación de Acuerdos con Plazo de Pago Excepcional;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Impuestos Internos;Actividades económicas
TR-SUB00058-00107;Fusionar Sociedad en el Registro de Empresas y Sociedades;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Datos de personas naturales (nombres, estado civil, fecha nacimiento)
TR-SUB00058-00107;Fusionar Sociedad en el Registro de Empresas y Sociedades;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Impuestos Internos;Rol único tributario
